Name,Age,Overall,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
V. Mykolenko,19,62,1000,Left,1.0,2.0,2.0,50.0,50.0,50.0,55.0,52.0,52.0,52.0,55.0,53.0,53.0,53.0,57.0,55.0,55.0,55.0,57.0,63.0,59.0,59.0,59.0,63.0,63.0,59.0,59.0,59.0,63.0,65.0,44.0,49.0,58.0,27.0,47.0,32.0,32.0,50.0,57.0,66.0,67.0,54.0,66.0,67.0,27.0,62.0,68.0,57.0,39.0,47.0,64.0,41.0,44.0,35.0,39.0,61.0,55.0,59.0
K. Çelik,18,62,2000,Right,1.0,3.0,2.0,62.0,62.0,62.0,59.0,60.0,60.0,60.0,59.0,59.0,59.0,59.0,57.0,51.0,51.0,51.0,57.0,42.0,40.0,40.0,40.0,42.0,40.0,39.0,39.0,39.0,40.0,36.0,65.0,64.0,56.0,58.0,57.0,60.0,48.0,38.0,59.0,66.0,62.0,72.0,59.0,63.0,63.0,70.0,52.0,66.0,55.0,42.0,17.0,56.0,53.0,64.0,50.0,23.0,16.0,18.0
J. Knight,20,62,6000,Right,1.0,2.0,2.0,45.0,45.0,45.0,41.0,42.0,42.0,42.0,41.0,42.0,42.0,42.0,43.0,45.0,45.0,45.0,43.0,53.0,56.0,56.0,56.0,53.0,56.0,62.0,62.0,62.0,56.0,28.0,25.0,60.0,47.0,33.0,35.0,40.0,37.0,39.0,41.0,46.0,54.0,43.0,59.0,58.0,47.0,63.0,59.0,69.0,30.0,69.0,59.0,41.0,32.0,41.0,51.0,62.0,63.0,61.0
Samuel,21,62,1000,Left,1.0,3.0,2.0,52.0,52.0,52.0,54.0,54.0,54.0,54.0,54.0,56.0,56.0,56.0,56.0,59.0,59.0,59.0,56.0,60.0,62.0,62.0,62.0,60.0,60.0,61.0,61.0,61.0,60.0,46.0,35.0,55.0,61.0,37.0,52.0,46.0,47.0,63.0,60.0,58.0,63.0,58.0,59.0,54.0,56.0,62.0,64.0,63.0,38.0,62.0,57.0,37.0,61.0,53.0,51.0,58.0,62.0,61.0
O. Palmer,26,62,2000,Right,1.0,3.0,2.0,63.0,63.0,63.0,58.0,60.0,60.0,60.0,58.0,57.0,57.0,57.0,56.0,51.0,51.0,51.0,56.0,44.0,43.0,43.0,43.0,44.0,43.0,43.0,43.0,43.0,43.0,38.0,63.0,62.0,44.0,46.0,55.0,42.0,27.0,33.0,64.0,55.0,70.0,58.0,56.0,67.0,58.0,38.0,67.0,88.0,54.0,67.0,24.0,64.0,51.0,61.0,60.0,13.0,25.0,28.0
T. Thomas,22,62,1000,Right,1.0,3.0,2.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,57.0,58.0,58.0,58.0,57.0,63.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,56.0,34.0,65.0,62.0,37.0,57.0,40.0,37.0,53.0,58.0,65.0,63.0,55.0,59.0,62.0,65.0,72.0,74.0,62.0,30.0,61.0,59.0,31.0,58.0,39.0,52.0,57.0,62.0,63.0
Y. Guzmán,20,62,1000,Right,1.0,3.0,2.0,59.0,59.0,59.0,61.0,62.0,62.0,62.0,61.0,62.0,62.0,62.0,60.0,56.0,56.0,56.0,60.0,44.0,44.0,44.0,44.0,44.0,43.0,38.0,38.0,38.0,43.0,28.0,60.0,48.0,60.0,44.0,55.0,35.0,30.0,53.0,65.0,82.0,72.0,75.0,54.0,91.0,52.0,71.0,58.0,34.0,48.0,38.0,14.0,61.0,62.0,55.0,49.0,56.0,17.0,13.0
J. Schneider,24,62,3000,Right,1.0,4.0,2.0,62.0,62.0,62.0,61.0,61.0,61.0,61.0,61.0,59.0,59.0,59.0,59.0,50.0,50.0,50.0,59.0,45.0,39.0,39.0,39.0,45.0,43.0,39.0,39.0,39.0,43.0,43.0,58.0,56.0,49.0,64.0,67.0,43.0,39.0,33.0,60.0,83.0,82.0,69.0,53.0,77.0,64.0,73.0,50.0,67.0,63.0,43.0,21.0,54.0,47.0,55.0,52.0,19.0,20.0,23.0
M. Albornoz,30,62,1000,Right,1.0,2.0,2.0,56.0,56.0,56.0,55.0,56.0,56.0,56.0,55.0,57.0,57.0,57.0,57.0,60.0,60.0,60.0,57.0,60.0,63.0,63.0,63.0,60.0,59.0,63.0,63.0,63.0,59.0,48.0,48.0,60.0,61.0,45.0,53.0,49.0,58.0,57.0,59.0,48.0,49.0,61.0,57.0,56.0,56.0,76.0,76.0,75.0,51.0,62.0,64.0,52.0,57.0,66.0,59.0,62.0,57.0,53.0
F. Senninger,22,62,4000,Right,1.0,4.0,3.0,48.0,48.0,48.0,55.0,51.0,51.0,51.0,55.0,51.0,51.0,51.0,56.0,49.0,49.0,49.0,56.0,63.0,55.0,55.0,55.0,63.0,63.0,58.0,58.0,58.0,63.0,57.0,26.0,45.0,54.0,29.0,54.0,26.0,25.0,26.0,58.0,84.0,86.0,77.0,59.0,79.0,29.0,79.0,75.0,56.0,28.0,46.0,53.0,40.0,36.0,37.0,44.0,59.0,58.0,59.0
E. Ćivić,22,62,1000,Left,1.0,3.0,2.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,60.0,60.0,60.0,63.0,57.0,57.0,57.0,63.0,58.0,55.0,55.0,55.0,58.0,56.0,53.0,53.0,53.0,56.0,62.0,54.0,42.0,62.0,22.0,55.0,32.0,28.0,45.0,64.0,75.0,73.0,70.0,64.0,68.0,79.0,58.0,60.0,76.0,24.0,54.0,52.0,67.0,54.0,39.0,64.0,42.0,45.0,39.0
F. Crisanto,27,62,2000,Right,1.0,3.0,2.0,49.0,49.0,49.0,59.0,55.0,55.0,55.0,59.0,59.0,59.0,59.0,61.0,58.0,58.0,58.0,61.0,62.0,60.0,60.0,60.0,62.0,62.0,59.0,59.0,59.0,62.0,56.0,28.0,47.0,65.0,30.0,64.0,56.0,32.0,53.0,56.0,84.0,83.0,65.0,51.0,63.0,26.0,53.0,63.0,57.0,30.0,67.0,50.0,45.0,66.0,41.0,59.0,55.0,65.0,63.0
J. Gerezgiher,22,62,1000,Right,1.0,3.0,3.0,58.0,58.0,58.0,63.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,62.0,58.0,58.0,58.0,62.0,52.0,50.0,50.0,50.0,52.0,50.0,46.0,46.0,46.0,50.0,54.0,52.0,46.0,62.0,49.0,67.0,54.0,53.0,58.0,63.0,74.0,66.0,78.0,61.0,75.0,57.0,65.0,49.0,49.0,48.0,43.0,31.0,55.0,58.0,54.0,52.0,36.0,42.0,37.0
J. Hoffmann,22,62,1000,Right,1.0,3.0,2.0,59.0,59.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,61.0,62.0,62.0,62.0,61.0,61.0,61.0,61.0,61.0,61.0,51.0,47.0,56.0,62.0,35.0,58.0,39.0,36.0,58.0,63.0,66.0,68.0,74.0,68.0,73.0,56.0,87.0,74.0,66.0,49.0,64.0,60.0,58.0,58.0,40.0,53.0,52.0,55.0,49.0
A. Almendra,18,62,2000,Right,1.0,2.0,3.0,60.0,60.0,60.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,61.0,62.0,62.0,62.0,61.0,58.0,59.0,59.0,59.0,58.0,57.0,56.0,56.0,56.0,57.0,47.0,58.0,45.0,67.0,50.0,63.0,55.0,52.0,68.0,65.0,63.0,64.0,64.0,60.0,61.0,59.0,50.0,47.0,62.0,56.0,44.0,44.0,54.0,57.0,52.0,62.0,52.0,60.0,59.0
A. Dźwigała,22,62,1000,Right,1.0,3.0,2.0,56.0,56.0,56.0,54.0,55.0,55.0,55.0,54.0,56.0,56.0,56.0,56.0,58.0,58.0,58.0,56.0,59.0,61.0,61.0,61.0,59.0,61.0,62.0,62.0,62.0,61.0,37.0,32.0,67.0,60.0,38.0,44.0,53.0,39.0,58.0,61.0,69.0,68.0,65.0,54.0,65.0,61.0,73.0,79.0,72.0,56.0,57.0,50.0,55.0,52.0,61.0,59.0,59.0,62.0,61.0
A. Kenyon,25,62,2000,Left,1.0,2.0,2.0,55.0,55.0,55.0,56.0,55.0,55.0,55.0,56.0,57.0,57.0,57.0,59.0,59.0,59.0,59.0,59.0,62.0,62.0,62.0,62.0,62.0,61.0,62.0,62.0,62.0,61.0,52.0,44.0,56.0,62.0,36.0,57.0,47.0,37.0,62.0,61.0,67.0,61.0,67.0,53.0,72.0,54.0,77.0,81.0,76.0,45.0,62.0,57.0,44.0,47.0,46.0,53.0,53.0,62.0,57.0
S. Friðjónsson,22,62,1000,Right,1.0,3.0,2.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,62.0,62.0,62.0,63.0,62.0,62.0,62.0,63.0,61.0,62.0,62.0,62.0,61.0,60.0,59.0,59.0,59.0,60.0,48.0,50.0,58.0,64.0,62.0,62.0,41.0,43.0,61.0,64.0,70.0,71.0,64.0,53.0,71.0,59.0,60.0,82.0,68.0,47.0,70.0,55.0,57.0,59.0,45.0,60.0,56.0,54.0,46.0
F. Illarregui,21,62,2000,Right,1.0,3.0,2.0,62.0,62.0,62.0,65.0,63.0,63.0,63.0,65.0,62.0,62.0,62.0,63.0,55.0,55.0,55.0,63.0,49.0,44.0,44.0,44.0,49.0,47.0,40.0,40.0,40.0,47.0,56.0,62.0,49.0,56.0,55.0,68.0,57.0,61.0,50.0,62.0,80.0,77.0,81.0,56.0,81.0,63.0,69.0,61.0,58.0,59.0,40.0,21.0,58.0,51.0,58.0,49.0,25.0,27.0,25.0
D. Butler,23,62,2000,Left,1.0,3.0,2.0,51.0,51.0,51.0,55.0,52.0,52.0,52.0,55.0,53.0,53.0,53.0,56.0,54.0,54.0,54.0,56.0,62.0,59.0,59.0,59.0,62.0,63.0,61.0,61.0,61.0,63.0,56.0,37.0,50.0,52.0,35.0,51.0,60.0,54.0,47.0,56.0,74.0,73.0,80.0,62.0,71.0,45.0,89.0,77.0,65.0,47.0,56.0,57.0,33.0,45.0,35.0,56.0,61.0,60.0,60.0
J. Mosquera,21,62,1000,Right,1.0,3.0,2.0,52.0,52.0,52.0,53.0,54.0,54.0,54.0,53.0,55.0,55.0,55.0,55.0,58.0,58.0,58.0,55.0,61.0,62.0,62.0,62.0,61.0,61.0,62.0,62.0,62.0,61.0,34.0,30.0,56.0,57.0,34.0,50.0,40.0,42.0,56.0,52.0,68.0,67.0,62.0,63.0,69.0,49.0,71.0,79.0,61.0,37.0,57.0,68.0,52.0,59.0,40.0,51.0,60.0,61.0,56.0
H. Özkan,20,62,2000,Right,1.0,3.0,2.0,59.0,59.0,59.0,62.0,61.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,58.0,50.0,60.0,65.0,36.0,60.0,47.0,42.0,62.0,64.0,66.0,66.0,69.0,61.0,70.0,57.0,69.0,59.0,62.0,51.0,64.0,60.0,51.0,64.0,48.0,56.0,55.0,62.0,61.0
E. Hewitt,24,62,3000,Right,1.0,3.0,3.0,56.0,56.0,56.0,63.0,60.0,60.0,60.0,63.0,62.0,62.0,62.0,65.0,62.0,62.0,62.0,65.0,66.0,63.0,63.0,63.0,66.0,65.0,61.0,61.0,61.0,65.0,63.0,54.0,45.0,61.0,22.0,63.0,36.0,27.0,59.0,64.0,75.0,73.0,80.0,59.0,79.0,26.0,66.0,86.0,68.0,40.0,55.0,56.0,54.0,59.0,22.0,62.0,65.0,62.0,58.0
Joan Sastre,21,62,1000,Right,1.0,3.0,2.0,51.0,51.0,51.0,56.0,54.0,54.0,54.0,56.0,54.0,54.0,54.0,57.0,54.0,54.0,54.0,57.0,62.0,59.0,59.0,59.0,62.0,62.0,62.0,62.0,62.0,62.0,59.0,36.0,52.0,53.0,31.0,59.0,40.0,40.0,37.0,68.0,62.0,58.0,62.0,57.0,64.0,34.0,59.0,59.0,57.0,31.0,58.0,65.0,49.0,44.0,70.0,43.0,63.0,62.0,63.0
F. Russo,23,62,1000,Right,1.0,3.0,2.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,47.0,47.0,47.0,47.0,47.0,58.0,57.0,57.0,57.0,58.0,60.0,63.0,63.0,63.0,60.0,41.0,25.0,61.0,49.0,32.0,41.0,37.0,29.0,39.0,52.0,58.0,64.0,43.0,54.0,55.0,44.0,72.0,61.0,62.0,25.0,51.0,63.0,24.0,39.0,50.0,46.0,61.0,66.0,67.0
J. Nuttall,21,62,6000,Right,1.0,3.0,2.0,63.0,63.0,63.0,58.0,60.0,60.0,60.0,58.0,58.0,58.0,58.0,57.0,53.0,53.0,53.0,57.0,47.0,46.0,46.0,46.0,47.0,46.0,46.0,46.0,46.0,46.0,34.0,68.0,68.0,54.0,54.0,52.0,37.0,33.0,39.0,55.0,77.0,68.0,64.0,56.0,65.0,58.0,64.0,73.0,76.0,56.0,47.0,29.0,56.0,54.0,60.0,49.0,42.0,25.0,19.0
Hélton Carvalhal,26,62,4000,Right,1.0,3.0,2.0,62.0,62.0,62.0,49.0,54.0,54.0,54.0,49.0,49.0,49.0,49.0,46.0,44.0,44.0,44.0,46.0,38.0,39.0,39.0,39.0,38.0,38.0,43.0,43.0,43.0,38.0,32.0,71.0,72.0,43.0,53.0,45.0,34.0,35.0,23.0,43.0,33.0,34.0,40.0,64.0,51.0,72.0,37.0,42.0,86.0,63.0,47.0,35.0,66.0,37.0,56.0,82.0,19.0,23.0,28.0
A. Rossipal,22,62,1000,Left,1.0,3.0,2.0,54.0,54.0,54.0,56.0,55.0,55.0,55.0,56.0,55.0,55.0,55.0,58.0,56.0,56.0,56.0,58.0,62.0,59.0,59.0,59.0,62.0,62.0,61.0,61.0,61.0,62.0,53.0,33.0,56.0,56.0,35.0,55.0,48.0,28.0,51.0,60.0,72.0,77.0,65.0,58.0,70.0,48.0,71.0,69.0,67.0,39.0,45.0,58.0,50.0,45.0,35.0,52.0,59.0,61.0,59.0
Wang Shouting,32,62,3000,Right,1.0,4.0,2.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,55.0,58.0,58.0,58.0,56.0,59.0,59.0,59.0,56.0,58.0,63.0,63.0,63.0,58.0,58.0,64.0,64.0,64.0,58.0,42.0,42.0,53.0,62.0,34.0,57.0,36.0,42.0,57.0,50.0,51.0,52.0,60.0,56.0,60.0,48.0,63.0,67.0,81.0,43.0,78.0,59.0,65.0,62.0,33.0,50.0,64.0,61.0,58.0
C. Montano,26,62,3000,Left,1.0,3.0,3.0,62.0,62.0,62.0,63.0,61.0,61.0,61.0,63.0,60.0,60.0,60.0,63.0,58.0,58.0,58.0,63.0,63.0,60.0,60.0,60.0,63.0,63.0,61.0,61.0,61.0,63.0,60.0,58.0,52.0,58.0,55.0,65.0,62.0,51.0,56.0,61.0,80.0,76.0,91.0,57.0,74.0,64.0,62.0,66.0,58.0,52.0,65.0,56.0,57.0,40.0,55.0,58.0,62.0,60.0,58.0
A. Abang,21,62,1000,Right,1.0,2.0,2.0,63.0,63.0,63.0,57.0,59.0,59.0,59.0,57.0,56.0,56.0,56.0,55.0,49.0,49.0,49.0,55.0,44.0,42.0,42.0,42.0,44.0,43.0,43.0,43.0,43.0,43.0,30.0,61.0,67.0,52.0,58.0,56.0,30.0,28.0,28.0,59.0,68.0,68.0,66.0,56.0,61.0,62.0,74.0,68.0,74.0,56.0,56.0,24.0,60.0,41.0,54.0,45.0,32.0,17.0,21.0
Seol Tae Soo,23,62,1000,Right,1.0,3.0,3.0,62.0,62.0,62.0,64.0,63.0,63.0,63.0,64.0,63.0,63.0,63.0,63.0,58.0,58.0,58.0,63.0,53.0,50.0,50.0,50.0,53.0,51.0,47.0,47.0,47.0,51.0,55.0,64.0,50.0,64.0,42.0,63.0,44.0,36.0,61.0,63.0,60.0,84.0,69.0,58.0,86.0,60.0,67.0,44.0,39.0,45.0,46.0,28.0,63.0,54.0,47.0,55.0,46.0,40.0,40.0
M. Nalepa,23,62,1000,Right,1.0,2.0,2.0,58.0,58.0,58.0,60.0,59.0,59.0,59.0,60.0,61.0,61.0,61.0,61.0,62.0,62.0,62.0,61.0,63.0,65.0,65.0,65.0,63.0,63.0,65.0,65.0,65.0,63.0,48.0,53.0,59.0,65.0,32.0,62.0,53.0,55.0,63.0,64.0,68.0,68.0,64.0,65.0,84.0,62.0,60.0,71.0,64.0,48.0,80.0,58.0,34.0,59.0,51.0,55.0,60.0,65.0,59.0
B. Kapacak,18,62,2000,Right,1.0,3.0,2.0,56.0,56.0,56.0,61.0,59.0,59.0,59.0,61.0,60.0,60.0,60.0,62.0,60.0,60.0,60.0,62.0,61.0,59.0,59.0,59.0,61.0,60.0,57.0,57.0,57.0,60.0,63.0,47.0,50.0,56.0,34.0,66.0,39.0,38.0,54.0,58.0,67.0,68.0,58.0,60.0,73.0,46.0,60.0,73.0,57.0,54.0,59.0,51.0,56.0,58.0,40.0,42.0,53.0,61.0,52.0
M. Bülter,25,62,3000,Right,1.0,3.0,3.0,61.0,61.0,61.0,63.0,62.0,62.0,62.0,63.0,60.0,60.0,60.0,62.0,52.0,52.0,52.0,62.0,48.0,43.0,43.0,43.0,48.0,46.0,41.0,41.0,41.0,46.0,62.0,60.0,52.0,53.0,58.0,69.0,58.0,39.0,40.0,67.0,75.0,71.0,63.0,39.0,58.0,61.0,44.0,55.0,66.0,54.0,34.0,20.0,60.0,51.0,50.0,48.0,35.0,30.0,26.0
M. Koné,24,62,1000,Right,1.0,2.0,2.0,44.0,44.0,44.0,44.0,43.0,43.0,43.0,44.0,43.0,43.0,43.0,45.0,45.0,45.0,45.0,45.0,54.0,55.0,55.0,55.0,54.0,56.0,63.0,63.0,63.0,56.0,34.0,28.0,58.0,32.0,27.0,49.0,29.0,32.0,39.0,47.0,51.0,59.0,59.0,51.0,48.0,23.0,71.0,69.0,92.0,24.0,60.0,59.0,38.0,37.0,38.0,55.0,59.0,64.0,61.0
Bae Jae Woo,25,62,1000,Right,1.0,3.0,2.0,50.0,50.0,50.0,57.0,53.0,53.0,53.0,57.0,54.0,54.0,54.0,58.0,53.0,53.0,53.0,58.0,63.0,58.0,58.0,58.0,63.0,63.0,61.0,61.0,61.0,63.0,61.0,31.0,42.0,53.0,26.0,59.0,28.0,31.0,43.0,55.0,78.0,76.0,62.0,57.0,81.0,23.0,63.0,61.0,75.0,21.0,54.0,59.0,59.0,44.0,23.0,51.0,58.0,64.0,64.0
O. Shaw,20,62,1000,Right,1.0,3.0,2.0,63.0,63.0,63.0,58.0,61.0,61.0,61.0,58.0,59.0,59.0,59.0,56.0,52.0,52.0,52.0,56.0,41.0,40.0,40.0,40.0,41.0,39.0,37.0,37.0,37.0,39.0,28.0,64.0,62.0,58.0,54.0,58.0,48.0,32.0,32.0,62.0,61.0,59.0,59.0,63.0,58.0,59.0,69.0,58.0,65.0,54.0,26.0,19.0,63.0,48.0,65.0,44.0,17.0,14.0,18.0
M. van Kins,19,62,1000,Left,1.0,3.0,3.0,56.0,56.0,56.0,62.0,61.0,61.0,61.0,62.0,63.0,63.0,63.0,61.0,59.0,59.0,59.0,61.0,51.0,50.0,50.0,50.0,51.0,49.0,45.0,45.0,45.0,49.0,58.0,50.0,37.0,63.0,56.0,62.0,64.0,58.0,59.0,63.0,73.0,62.0,79.0,55.0,70.0,60.0,55.0,35.0,53.0,54.0,42.0,38.0,50.0,70.0,43.0,61.0,24.0,42.0,44.0
N. Thaller,19,62,1000,Right,1.0,3.0,2.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,48.0,49.0,49.0,49.0,51.0,54.0,54.0,54.0,51.0,60.0,61.0,61.0,61.0,60.0,61.0,63.0,63.0,63.0,61.0,43.0,29.0,63.0,64.0,29.0,47.0,35.0,35.0,53.0,57.0,58.0,53.0,48.0,54.0,55.0,45.0,71.0,66.0,59.0,20.0,55.0,64.0,26.0,42.0,41.0,47.0,64.0,62.0,60.0
Elbis,25,62,4000,Left,1.0,3.0,2.0,46.0,46.0,46.0,52.0,49.0,49.0,49.0,52.0,50.0,50.0,50.0,54.0,53.0,53.0,53.0,54.0,62.0,59.0,59.0,59.0,62.0,62.0,61.0,61.0,61.0,62.0,55.0,28.0,45.0,60.0,26.0,63.0,34.0,40.0,50.0,40.0,63.0,65.0,56.0,54.0,69.0,33.0,56.0,64.0,57.0,26.0,57.0,60.0,46.0,40.0,42.0,42.0,58.0,73.0,71.0
Viti,21,62,1000,Right,1.0,3.0,2.0,57.0,57.0,57.0,59.0,59.0,59.0,59.0,59.0,61.0,61.0,61.0,60.0,62.0,62.0,62.0,60.0,60.0,61.0,61.0,61.0,60.0,59.0,59.0,59.0,59.0,59.0,54.0,49.0,54.0,66.0,42.0,61.0,55.0,46.0,64.0,64.0,53.0,54.0,53.0,60.0,68.0,58.0,57.0,51.0,49.0,54.0,62.0,58.0,53.0,59.0,56.0,59.0,55.0,60.0,59.0
M. Kouhyar,20,62,1000,Right,1.0,3.0,3.0,58.0,58.0,58.0,62.0,60.0,60.0,60.0,62.0,61.0,61.0,61.0,62.0,58.0,58.0,58.0,62.0,57.0,54.0,54.0,54.0,57.0,56.0,50.0,50.0,50.0,56.0,57.0,53.0,43.0,59.0,47.0,62.0,53.0,41.0,55.0,60.0,75.0,76.0,78.0,52.0,78.0,55.0,55.0,72.0,60.0,52.0,41.0,41.0,56.0,58.0,55.0,58.0,45.0,49.0,43.0
R. Sutton,32,62,2000,Right,1.0,3.0,2.0,48.0,48.0,48.0,43.0,44.0,44.0,44.0,43.0,44.0,44.0,44.0,46.0,49.0,49.0,49.0,46.0,56.0,58.0,58.0,58.0,56.0,58.0,63.0,63.0,63.0,58.0,32.0,32.0,66.0,58.0,31.0,24.0,22.0,27.0,45.0,50.0,54.0,51.0,52.0,57.0,59.0,35.0,75.0,74.0,77.0,31.0,52.0,58.0,49.0,25.0,31.0,48.0,59.0,64.0,58.0
M. Cullen,26,62,2000,Right,1.0,2.0,2.0,62.0,62.0,62.0,61.0,61.0,61.0,61.0,61.0,60.0,60.0,60.0,60.0,55.0,55.0,55.0,60.0,51.0,49.0,49.0,49.0,51.0,50.0,49.0,49.0,49.0,50.0,49.0,62.0,63.0,49.0,60.0,56.0,48.0,43.0,44.0,59.0,67.0,74.0,72.0,57.0,72.0,58.0,83.0,64.0,60.0,53.0,55.0,39.0,65.0,62.0,58.0,64.0,44.0,31.0,30.0
A. Kiwomya,22,62,2000,Right,1.0,3.0,3.0,60.0,60.0,60.0,64.0,62.0,62.0,62.0,64.0,60.0,60.0,60.0,63.0,52.0,52.0,52.0,63.0,47.0,39.0,39.0,39.0,47.0,44.0,35.0,35.0,35.0,44.0,54.0,59.0,50.0,50.0,38.0,66.0,55.0,36.0,44.0,60.0,93.0,94.0,71.0,55.0,69.0,51.0,67.0,63.0,59.0,53.0,29.0,19.0,53.0,53.0,55.0,45.0,12.0,20.0,15.0
J. Sanchez,23,62,1000,Right,1.0,3.0,3.0,55.0,55.0,55.0,63.0,61.0,61.0,61.0,63.0,63.0,63.0,63.0,64.0,59.0,59.0,59.0,64.0,59.0,53.0,53.0,53.0,59.0,57.0,48.0,48.0,48.0,57.0,56.0,39.0,42.0,66.0,38.0,67.0,41.0,38.0,52.0,63.0,84.0,81.0,83.0,58.0,84.0,52.0,87.0,71.0,35.0,45.0,46.0,36.0,53.0,59.0,43.0,66.0,49.0,39.0,47.0
F. Onyeka,20,62,3000,Right,1.0,3.0,3.0,61.0,61.0,61.0,64.0,63.0,63.0,63.0,64.0,63.0,63.0,63.0,65.0,62.0,62.0,62.0,65.0,63.0,62.0,62.0,62.0,63.0,62.0,58.0,58.0,58.0,62.0,57.0,54.0,51.0,62.0,43.0,64.0,49.0,38.0,59.0,66.0,72.0,75.0,76.0,62.0,76.0,57.0,40.0,82.0,65.0,40.0,65.0,56.0,59.0,57.0,41.0,53.0,56.0,49.0,54.0
C. Krempicki,23,62,1000,Right,1.0,4.0,3.0,59.0,59.0,59.0,61.0,61.0,61.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,60.0,61.0,61.0,61.0,60.0,59.0,58.0,58.0,58.0,59.0,42.0,56.0,45.0,63.0,48.0,61.0,51.0,41.0,59.0,63.0,71.0,66.0,76.0,59.0,78.0,58.0,60.0,89.0,73.0,54.0,65.0,49.0,49.0,62.0,50.0,59.0,56.0,54.0,46.0
Marc Vales,28,62,1000,Right,1.0,3.0,2.0,51.0,51.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,53.0,53.0,53.0,53.0,53.0,59.0,58.0,58.0,58.0,59.0,60.0,63.0,63.0,63.0,60.0,53.0,28.0,70.0,49.0,41.0,50.0,37.0,29.0,58.0,54.0,57.0,71.0,47.0,56.0,53.0,58.0,73.0,64.0,75.0,32.0,69.0,55.0,37.0,48.0,34.0,50.0,54.0,56.0,67.0
F. Rodríguez,22,62,2000,Right,1.0,4.0,3.0,60.0,60.0,60.0,63.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,64.0,60.0,60.0,60.0,64.0,53.0,51.0,51.0,51.0,53.0,50.0,44.0,44.0,44.0,50.0,61.0,60.0,48.0,62.0,54.0,65.0,62.0,56.0,61.0,65.0,68.0,68.0,68.0,58.0,68.0,63.0,60.0,67.0,48.0,60.0,55.0,40.0,47.0,61.0,48.0,50.0,40.0,25.0,25.0
B. Kukeli,34,62,5000,Left,1.0,3.0,2.0,56.0,56.0,56.0,56.0,57.0,57.0,57.0,56.0,58.0,58.0,58.0,58.0,62.0,62.0,62.0,58.0,62.0,65.0,65.0,65.0,62.0,62.0,64.0,64.0,64.0,62.0,57.0,42.0,57.0,65.0,48.0,51.0,48.0,53.0,59.0,58.0,39.0,53.0,70.0,60.0,68.0,64.0,68.0,79.0,66.0,48.0,66.0,64.0,60.0,62.0,55.0,65.0,60.0,64.0,59.0
A. Fisher,28,62,2000,Right,1.0,3.0,2.0,62.0,62.0,62.0,59.0,60.0,60.0,60.0,59.0,57.0,57.0,57.0,58.0,51.0,51.0,51.0,58.0,43.0,41.0,41.0,41.0,43.0,42.0,39.0,39.0,39.0,42.0,36.0,62.0,61.0,51.0,45.0,59.0,42.0,45.0,41.0,62.0,76.0,77.0,71.0,44.0,61.0,60.0,75.0,73.0,73.0,50.0,47.0,16.0,62.0,43.0,62.0,59.0,20.0,21.0,16.0
M. Rodriguez,22,62,1000,Right,1.0,3.0,3.0,59.0,59.0,59.0,63.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,62.0,60.0,60.0,60.0,62.0,54.0,52.0,52.0,52.0,54.0,52.0,48.0,48.0,48.0,52.0,65.0,51.0,53.0,65.0,46.0,64.0,65.0,33.0,55.0,64.0,64.0,59.0,79.0,55.0,82.0,69.0,69.0,52.0,48.0,66.0,51.0,38.0,55.0,63.0,38.0,60.0,31.0,41.0,44.0
